gt_team,opponent,row_type,player,player_run_grade,player_receiving_grade,opp_lb_run_avg,opp_lb_cov_avg,opp_lb_run_grade,opp_lb_cov_grade,delta_run_minus_lb_run,delta_recv_minus_lb_cov,overall_delta,opp_lb_name,opp_lb_snaps
GA TECH,BOSTON COL,vs_lb_room_avg,Jamal Haynes,73.1,,57.85,62.77,,,15.25,,15.25,,
GA TECH,BOSTON COL,vs_lb_rank_1,Jamal Haynes,73.1,,,,56,60.5,17.1,,17.1,Owen McGowan,402
GA TECH,BOSTON COL,vs_lb_rank_2,Jamal Haynes,73.1,,,,60,76.2,13.1,,13.1,Daveon Crouch,149
GA TECH,BOSTON COL,vs_lb_rank_3,Jamal Haynes,73.1,,,,61.1,61.4,12,,12,Bryce Steele,118
GA TECH,BOSTON COL,vs_lb_rank_4,Jamal Haynes,73.1,,,,58.3,51.9,14.8,,14.8,Jason Hewlett Jr.,85
GA TECH,BOSTON COL,vs_lb_room_avg,Malachi Hosley,82.3,,57.85,62.77,,,24.45,,24.45,,
GA TECH,BOSTON COL,vs_lb_rank_1,Malachi Hosley,82.3,,,,56,60.5,26.3,,26.3,Owen McGowan,402
GA TECH,BOSTON COL,vs_lb_rank_2,Malachi Hosley,82.3,,,,60,76.2,22.3,,22.3,Daveon Crouch,149
GA TECH,BOSTON COL,vs_lb_rank_3,Malachi Hosley,82.3,,,,61.1,61.4,21.2,,21.2,Bryce Steele,118
GA TECH,BOSTON COL,vs_lb_rank_4,Malachi Hosley,82.3,,,,58.3,51.9,24,,24,Jason Hewlett Jr.,85
GA TECH,NC STATE,vs_lb_room_avg,Jamal Haynes,73.1,,73.09,55.18,,,0.01,,0.01,,
GA TECH,NC STATE,vs_lb_rank_1,Jamal Haynes,73.1,,,,78.2,50.8,-5.1,,-5.1,Caden Fordham,396
GA TECH,NC STATE,vs_lb_rank_2,Jamal Haynes,73.1,,,,63.9,59.4,9.2,,9.2,Sean Brown,298
GA TECH,NC STATE,vs_lb_rank_3,Jamal Haynes,73.1,,,,80.7,55.4,-7.6,,-7.6,Kenny Soares Jr.,245
GA TECH,NC STATE,vs_lb_rank_4,Jamal Haynes,73.1,,,,56.4,61.3,16.7,,16.7,AJ Richardson,69
GA TECH,NC STATE,vs_lb_room_avg,Malachi Hosley,82.3,,73.09,55.18,,,9.21,,9.21,,
GA TECH,NC STATE,vs_lb_rank_1,Malachi Hosley,82.3,,,,78.2,50.8,4.1,,4.1,Caden Fordham,396
GA TECH,NC STATE,vs_lb_rank_2,Malachi Hosley,82.3,,,,63.9,59.4,18.4,,18.4,Sean Brown,298
GA TECH,NC STATE,vs_lb_rank_3,Malachi Hosley,82.3,,,,80.7,55.4,1.6,,1.6,Kenny Soares Jr.,245
GA TECH,NC STATE,vs_lb_rank_4,Malachi Hosley,82.3,,,,56.4,61.3,25.9,,25.9,AJ Richardson,69
GA TECH,GEORGIA,vs_lb_room_avg,Jamal Haynes,73.1,,76.4,64.67,,,-3.3,,-3.3,,
GA TECH,GEORGIA,vs_lb_rank_1,Jamal Haynes,73.1,,,,91.6,59,-18.5,,-18.5,CJ Allen,321
GA TECH,GEORGIA,vs_lb_rank_2,Jamal Haynes,73.1,,,,65.4,62.6,7.7,,7.7,Raylen Wilson,289
GA TECH,GEORGIA,vs_lb_rank_3,Jamal Haynes,73.1,,,,64.2,74.7,8.9,,8.9,Chris Cole,206
