gt_team,opponent,type,player,player_position,player_run_block_grade,opp_ed_run_defense_grade,opp_ed_name,opp_ed_snaps,delta
GA TECH,BOSTON COL,vs_defense_avg,Ethan Mackenny,OT,65.9,65.56,,,0.34
GA TECH,BOSTON COL,vs_ed_rank_1,Ethan Mackenny,OT,65.9,72.7,Quintayvious Hutchins,255.0,-6.8
GA TECH,BOSTON COL,vs_ed_rank_2,Ethan Mackenny,OT,65.9,70.5,Edwin Kolenge,244.0,-4.6
GA TECH,BOSTON COL,vs_ed_rank_3,Ethan Mackenny,OT,65.9,57.4,Favor Bate,195.0,8.5
GA TECH,BOSTON COL,vs_ed_rank_4,Ethan Mackenny,OT,65.9,55.6,E'Lla Boykin,116.0,10.3
GA TECH,BOSTON COL,vs_ed_rank_5,Ethan Mackenny,OT,65.9,60.0,Israel Oladipupo,51.0,5.9
GA TECH,BOSTON COL,vs_defense_avg,Malachi Carney,OT,68.9,65.56,,,3.34
GA TECH,BOSTON COL,vs_ed_rank_1,Malachi Carney,OT,68.9,72.7,Quintayvious Hutchins,255.0,-3.8
GA TECH,BOSTON COL,vs_ed_rank_2,Malachi Carney,OT,68.9,70.5,Edwin Kolenge,244.0,-1.6
GA TECH,BOSTON COL,vs_ed_rank_3,Malachi Carney,OT,68.9,57.4,Favor Bate,195.0,11.5
GA TECH,BOSTON COL,vs_ed_rank_4,Malachi Carney,OT,68.9,55.6,E'Lla Boykin,116.0,13.3
GA TECH,BOSTON COL,vs_ed_rank_5,Malachi Carney,OT,68.9,60.0,Israel Oladipupo,51.0,8.9
GA TECH,NC STATE,vs_defense_avg,Ethan Mackenny,OT,65.9,73.94,,,-8.04
GA TECH,NC STATE,vs_ed_rank_1,Ethan Mackenny,OT,65.9,76.5,Sabastian Harsh,348.0,-10.6
GA TECH,NC STATE,vs_ed_rank_2,Ethan Mackenny,OT,65.9,77.8,Cian Slone,324.0,-11.9
GA TECH,NC STATE,vs_ed_rank_3,Ethan Mackenny,OT,65.9,62.0,Tra Thomas,177.0,3.9
GA TECH,NC STATE,vs_ed_rank_4,Ethan Mackenny,OT,65.9,73.7,Chase Bond,105.0,-7.8
GA TECH,NC STATE,vs_defense_avg,Malachi Carney,OT,68.9,73.94,,,-5.04
GA TECH,NC STATE,vs_ed_rank_1,Malachi Carney,OT,68.9,76.5,Sabastian Harsh,348.0,-7.6
GA TECH,NC STATE,vs_ed_rank_2,Malachi Carney,OT,68.9,77.8,Cian Slone,324.0,-8.9
GA TECH,NC STATE,vs_ed_rank_3,Malachi Carney,OT,68.9,62.0,Tra Thomas,177.0,6.9
GA TECH,NC STATE,vs_ed_rank_4,Malachi Carney,OT,68.9,73.7,Chase Bond,105.0,-4.8
GA TECH,GEORGIA,vs_defense_avg,Ethan Mackenny,OT,65.9,67.84,,,-1.94
GA TECH,GEORGIA,vs_ed_rank_1,Ethan Mackenny,OT,65.9,65.2,Gabe Harris Jr.,258.0,0.7
