gt_team,opponent,type,player,player_position,player_pass_grade,opp_ed_run_grade,opp_ed_name,opp_ed_snaps,delta_pass_vs_run
GA TECH,BOSTON COL,vs_defense_avg,Luke Harpring,TE,70.4,65.56,,,4.84
GA TECH,BOSTON COL,vs_ed_rank_1,Luke Harpring,TE,70.4,72.7,Quintayvious Hutchins,255.0,-2.3
GA TECH,BOSTON COL,vs_ed_rank_2,Luke Harpring,TE,70.4,70.5,Edwin Kolenge,244.0,-0.1
GA TECH,BOSTON COL,vs_ed_rank_3,Luke Harpring,TE,70.4,57.4,Favor Bate,195.0,13.0
GA TECH,BOSTON COL,vs_ed_rank_4,Luke Harpring,TE,70.4,55.6,E'Lla Boykin,116.0,14.8
GA TECH,BOSTON COL,vs_ed_rank_5,Luke Harpring,TE,70.4,60.0,Israel Oladipupo,51.0,10.4
GA TECH,BOSTON COL,vs_defense_avg,Brett Seither,TE,50.4,65.56,,,-15.16
GA TECH,BOSTON COL,vs_ed_rank_1,Brett Seither,TE,50.4,72.7,Quintayvious Hutchins,255.0,-22.3
GA TECH,BOSTON COL,vs_ed_rank_2,Brett Seither,TE,50.4,70.5,Edwin Kolenge,244.0,-20.1
GA TECH,BOSTON COL,vs_ed_rank_3,Brett Seither,TE,50.4,57.4,Favor Bate,195.0,-7.0
GA TECH,BOSTON COL,vs_ed_rank_4,Brett Seither,TE,50.4,55.6,E'Lla Boykin,116.0,-5.2
GA TECH,BOSTON COL,vs_ed_rank_5,Brett Seither,TE,50.4,60.0,Israel Oladipupo,51.0,-9.6
GA TECH,BOSTON COL,vs_defense_avg,Josh Beetham,TE,76.9,65.56,,,11.34
GA TECH,BOSTON COL,vs_ed_rank_1,Josh Beetham,TE,76.9,72.7,Quintayvious Hutchins,255.0,4.2
GA TECH,BOSTON COL,vs_ed_rank_2,Josh Beetham,TE,76.9,70.5,Edwin Kolenge,244.0,6.4
GA TECH,BOSTON COL,vs_ed_rank_3,Josh Beetham,TE,76.9,57.4,Favor Bate,195.0,19.5
GA TECH,BOSTON COL,vs_ed_rank_4,Josh Beetham,TE,76.9,55.6,E'Lla Boykin,116.0,21.3
GA TECH,BOSTON COL,vs_ed_rank_5,Josh Beetham,TE,76.9,60.0,Israel Oladipupo,51.0,16.9
GA TECH,BOSTON COL,vs_defense_avg,J.T. Byrne,TE,54.2,65.56,,,-11.36
GA TECH,BOSTON COL,vs_ed_rank_1,J.T. Byrne,TE,54.2,72.7,Quintayvious Hutchins,255.0,-18.5
GA TECH,BOSTON COL,vs_ed_rank_2,J.T. Byrne,TE,54.2,70.5,Edwin Kolenge,244.0,-16.3
GA TECH,BOSTON COL,vs_ed_rank_3,J.T. Byrne,TE,54.2,57.4,Favor Bate,195.0,-3.2
GA TECH,BOSTON COL,vs_ed_rank_4,J.T. Byrne,TE,54.2,55.6,E'Lla Boykin,116.0,-1.4
GA TECH,BOSTON COL,vs_ed_rank_5,J.T. Byrne,TE,54.2,60.0,Israel Oladipupo,51.0,-5.8
GA TECH,NC STATE,vs_defense_avg,Luke Harpring,TE,70.4,73.94,,,-3.54
GA TECH,NC STATE,vs_ed_rank_1,Luke Harpring,TE,70.4,76.5,Sabastian Harsh,348.0,-6.1
GA TECH,NC STATE,vs_ed_rank_2,Luke Harpring,TE,70.4,77.8,Cian Slone,324.0,-7.4
GA TECH,NC STATE,vs_ed_rank_3,Luke Harpring,TE,70.4,62.0,Tra Thomas,177.0,8.4
GA TECH,NC STATE,vs_ed_rank_4,Luke Harpring,TE,70.4,73.7,Chase Bond,105.0,-3.3
GA TECH,NC STATE,vs_defense_avg,Brett Seither,TE,50.4,73.94,,,-23.54
GA TECH,NC STATE,vs_ed_rank_1,Brett Seither,TE,50.4,76.5,Sabastian Harsh,348.0,-26.1
GA TECH,NC STATE,vs_ed_rank_2,Brett Seither,TE,50.4,77.8,Cian Slone,324.0,-27.4
GA TECH,NC STATE,vs_ed_rank_3,Brett Seither,TE,50.4,62.0,Tra Thomas,177.0,-11.6
GA TECH,NC STATE,vs_ed_rank_4,Brett Seither,TE,50.4,73.7,Chase Bond,105.0,-23.3
GA TECH,NC STATE,vs_defense_avg,Josh Beetham,TE,76.9,73.94,,,2.96
GA TECH,NC STATE,vs_ed_rank_1,Josh Beetham,TE,76.9,76.5,Sabastian Harsh,348.0,0.4
GA TECH,NC STATE,vs_ed_rank_2,Josh Beetham,TE,76.9,77.8,Cian Slone,324.0,-0.9
GA TECH,NC STATE,vs_ed_rank_3,Josh Beetham,TE,76.9,62.0,Tra Thomas,177.0,14.9
GA TECH,NC STATE,vs_ed_rank_4,Josh Beetham,TE,76.9,73.7,Chase Bond,105.0,3.2
GA TECH,NC STATE,vs_defense_avg,J.T. Byrne,TE,54.2,73.94,,,-19.74
GA TECH,NC STATE,vs_ed_rank_1,J.T. Byrne,TE,54.2,76.5,Sabastian Harsh,348.0,-22.3
GA TECH,NC STATE,vs_ed_rank_2,J.T. Byrne,TE,54.2,77.8,Cian Slone,324.0,-23.6
GA TECH,NC STATE,vs_ed_rank_3,J.T. Byrne,TE,54.2,62.0,Tra Thomas,177.0,-7.8
GA TECH,NC STATE,vs_ed_rank_4,J.T. Byrne,TE,54.2,73.7,Chase Bond,105.0,-19.5
GA TECH,GEORGIA,vs_defense_avg,Luke Harpring,TE,70.4,67.84,,,2.56
GA TECH,GEORGIA,vs_ed_rank_1,Luke Harpring,TE,70.4,65.2,Gabe Harris Jr.,258.0,5.2
GA TECH,GEORGIA,vs_ed_rank_2,Luke Harpring,TE,70.4,76.0,Quintavius Johnson,255.0,-5.6
GA TECH,GEORGIA,vs_ed_rank_3,Luke Harpring,TE,70.4,72.4,Joseph Jonah-Ajonye,161.0,-2.0
GA TECH,GEORGIA,vs_ed_rank_4,Luke Harpring,TE,70.4,45.1,Kris Jones,78.0,25.3
