gt_team,opponent,type,player,player_position,player_pass_grade,opp_lb_coverage_grade,opp_lb_name,opp_lb_snaps,delta_pass_coverage
GA TECH,BOSTON COL,vs_defense_avg,Luke Harpring,TE,70.4,62.77,,,7.63
GA TECH,BOSTON COL,vs_lb_rank_1,Luke Harpring,TE,70.4,60.5,Owen McGowan,402.0,9.9
GA TECH,BOSTON COL,vs_lb_rank_2,Luke Harpring,TE,70.4,76.2,Daveon Crouch,149.0,-5.8
GA TECH,BOSTON COL,vs_lb_rank_3,Luke Harpring,TE,70.4,61.4,Bryce Steele,118.0,9.0
GA TECH,BOSTON COL,vs_lb_rank_4,Luke Harpring,TE,70.4,51.9,Jason Hewlett Jr.,85.0,18.5
GA TECH,BOSTON COL,vs_defense_avg,Brett Seither,TE,50.4,62.77,,,-12.37
GA TECH,BOSTON COL,vs_lb_rank_1,Brett Seither,TE,50.4,60.5,Owen McGowan,402.0,-10.1
GA TECH,BOSTON COL,vs_lb_rank_2,Brett Seither,TE,50.4,76.2,Daveon Crouch,149.0,-25.8
GA TECH,BOSTON COL,vs_lb_rank_3,Brett Seither,TE,50.4,61.4,Bryce Steele,118.0,-11.0
GA TECH,BOSTON COL,vs_lb_rank_4,Brett Seither,TE,50.4,51.9,Jason Hewlett Jr.,85.0,-1.5
GA TECH,BOSTON COL,vs_defense_avg,Josh Beetham,TE,76.9,62.77,,,14.13
GA TECH,BOSTON COL,vs_lb_rank_1,Josh Beetham,TE,76.9,60.5,Owen McGowan,402.0,16.4
GA TECH,BOSTON COL,vs_lb_rank_2,Josh Beetham,TE,76.9,76.2,Daveon Crouch,149.0,0.7
GA TECH,BOSTON COL,vs_lb_rank_3,Josh Beetham,TE,76.9,61.4,Bryce Steele,118.0,15.5
GA TECH,BOSTON COL,vs_lb_rank_4,Josh Beetham,TE,76.9,51.9,Jason Hewlett Jr.,85.0,25.0
GA TECH,BOSTON COL,vs_defense_avg,J.T. Byrne,TE,54.2,62.77,,,-8.57
GA TECH,BOSTON COL,vs_lb_rank_1,J.T. Byrne,TE,54.2,60.5,Owen McGowan,402.0,-6.3
GA TECH,BOSTON COL,vs_lb_rank_2,J.T. Byrne,TE,54.2,76.2,Daveon Crouch,149.0,-22.0
GA TECH,BOSTON COL,vs_lb_rank_3,J.T. Byrne,TE,54.2,61.4,Bryce Steele,118.0,-7.2
GA TECH,BOSTON COL,vs_lb_rank_4,J.T. Byrne,TE,54.2,51.9,Jason Hewlett Jr.,85.0,2.3
GA TECH,NC STATE,vs_defense_avg,Luke Harpring,TE,70.4,55.18,,,15.22
GA TECH,NC STATE,vs_lb_rank_1,Luke Harpring,TE,70.4,50.8,Caden Fordham,396.0,19.6
GA TECH,NC STATE,vs_lb_rank_2,Luke Harpring,TE,70.4,59.4,Sean Brown,298.0,11.0
GA TECH,NC STATE,vs_lb_rank_3,Luke Harpring,TE,70.4,55.4,Kenny Soares Jr.,245.0,15.0
