gt_team,opponent,type,player,player_position,player_pass_grade,opp_lb_run_grade,opp_lb_name,opp_lb_snaps,delta_pass_vs_run
GA TECH,BOSTON COL,vs_defense_avg,Luke Harpring,TE,70.4,57.85,,,12.55
GA TECH,BOSTON COL,vs_lb_rank_1,Luke Harpring,TE,70.4,56.0,Owen McGowan,402.0,14.4
GA TECH,BOSTON COL,vs_lb_rank_2,Luke Harpring,TE,70.4,60.0,Daveon Crouch,149.0,10.4
GA TECH,BOSTON COL,vs_lb_rank_3,Luke Harpring,TE,70.4,61.1,Bryce Steele,118.0,9.3
GA TECH,BOSTON COL,vs_lb_rank_4,Luke Harpring,TE,70.4,58.3,Jason Hewlett Jr.,85.0,12.1
GA TECH,BOSTON COL,vs_defense_avg,Brett Seither,TE,50.4,57.85,,,-7.45
GA TECH,BOSTON COL,vs_lb_rank_1,Brett Seither,TE,50.4,56.0,Owen McGowan,402.0,-5.6
GA TECH,BOSTON COL,vs_lb_rank_2,Brett Seither,TE,50.4,60.0,Daveon Crouch,149.0,-9.6
GA TECH,BOSTON COL,vs_lb_rank_3,Brett Seither,TE,50.4,61.1,Bryce Steele,118.0,-10.7
GA TECH,BOSTON COL,vs_lb_rank_4,Brett Seither,TE,50.4,58.3,Jason Hewlett Jr.,85.0,-7.9
GA TECH,BOSTON COL,vs_defense_avg,Josh Beetham,TE,76.9,57.85,,,19.05
GA TECH,BOSTON COL,vs_lb_rank_1,Josh Beetham,TE,76.9,56.0,Owen McGowan,402.0,20.9
GA TECH,BOSTON COL,vs_lb_rank_2,Josh Beetham,TE,76.9,60.0,Daveon Crouch,149.0,16.9
GA TECH,BOSTON COL,vs_lb_rank_3,Josh Beetham,TE,76.9,61.1,Bryce Steele,118.0,15.8
GA TECH,BOSTON COL,vs_lb_rank_4,Josh Beetham,TE,76.9,58.3,Jason Hewlett Jr.,85.0,18.6
GA TECH,BOSTON COL,vs_defense_avg,J.T. Byrne,TE,54.2,57.85,,,-3.65
GA TECH,BOSTON COL,vs_lb_rank_1,J.T. Byrne,TE,54.2,56.0,Owen McGowan,402.0,-1.8
GA TECH,BOSTON COL,vs_lb_rank_2,J.T. Byrne,TE,54.2,60.0,Daveon Crouch,149.0,-5.8
GA TECH,BOSTON COL,vs_lb_rank_3,J.T. Byrne,TE,54.2,61.1,Bryce Steele,118.0,-6.9
GA TECH,BOSTON COL,vs_lb_rank_4,J.T. Byrne,TE,54.2,58.3,Jason Hewlett Jr.,85.0,-4.1
GA TECH,NC STATE,vs_defense_avg,Luke Harpring,TE,70.4,73.09,,,-2.69
GA TECH,NC STATE,vs_lb_rank_1,Luke Harpring,TE,70.4,78.2,Caden Fordham,396.0,-7.8
GA TECH,NC STATE,vs_lb_rank_2,Luke Harpring,TE,70.4,63.9,Sean Brown,298.0,6.5
GA TECH,NC STATE,vs_lb_rank_3,Luke Harpring,TE,70.4,80.7,Kenny Soares Jr.,245.0,-10.3
GA TECH,NC STATE,vs_lb_rank_4,Luke Harpring,TE,70.4,56.4,AJ Richardson,69.0,14.0
GA TECH,NC STATE,vs_defense_avg,Brett Seither,TE,50.4,73.09,,,-22.69
GA TECH,NC STATE,vs_lb_rank_1,Brett Seither,TE,50.4,78.2,Caden Fordham,396.0,-27.8
GA TECH,NC STATE,vs_lb_rank_2,Brett Seither,TE,50.4,63.9,Sean Brown,298.0,-13.5
GA TECH,NC STATE,vs_lb_rank_3,Brett Seither,TE,50.4,80.7,Kenny Soares Jr.,245.0,-30.3
GA TECH,NC STATE,vs_lb_rank_4,Brett Seither,TE,50.4,56.4,AJ Richardson,69.0,-6.0
GA TECH,NC STATE,vs_defense_avg,Josh Beetham,TE,76.9,73.09,,,3.81
GA TECH,NC STATE,vs_lb_rank_1,Josh Beetham,TE,76.9,78.2,Caden Fordham,396.0,-1.3
GA TECH,NC STATE,vs_lb_rank_2,Josh Beetham,TE,76.9,63.9,Sean Brown,298.0,13.0
GA TECH,NC STATE,vs_lb_rank_3,Josh Beetham,TE,76.9,80.7,Kenny Soares Jr.,245.0,-3.8
GA TECH,NC STATE,vs_lb_rank_4,Josh Beetham,TE,76.9,56.4,AJ Richardson,69.0,20.5
GA TECH,NC STATE,vs_defense_avg,J.T. Byrne,TE,54.2,73.09,,,-18.89
GA TECH,NC STATE,vs_lb_rank_1,J.T. Byrne,TE,54.2,78.2,Caden Fordham,396.0,-24.0
GA TECH,NC STATE,vs_lb_rank_2,J.T. Byrne,TE,54.2,63.9,Sean Brown,298.0,-9.7
GA TECH,NC STATE,vs_lb_rank_3,J.T. Byrne,TE,54.2,80.7,Kenny Soares Jr.,245.0,-26.5
GA TECH,NC STATE,vs_lb_rank_4,J.T. Byrne,TE,54.2,56.4,AJ Richardson,69.0,-2.2
GA TECH,GEORGIA,vs_defense_avg,Luke Harpring,TE,70.4,76.4,,,-6.0
GA TECH,GEORGIA,vs_lb_rank_1,Luke Harpring,TE,70.4,91.6,CJ Allen,321.0,-21.2
GA TECH,GEORGIA,vs_lb_rank_2,Luke Harpring,TE,70.4,65.4,Raylen Wilson,289.0,5.0
GA TECH,GEORGIA,vs_lb_rank_3,Luke Harpring,TE,70.4,64.2,Chris Cole,206.0,6.2
